,问题,选项1,选项2,选项3,选项4,答案
418,以下哪句话中“正面”的意思(或用法)与其他句子不同。,正面的思考有极大的力量。当你期望最好的事物时，你便在创造一个思想的磁场，吸引你所冀求的一切，毕竟物以类聚,不说消极话，不落入消极情绪，一旦发生正面处理,只喜欢听员工汇报公司的正面消息，而不愿意听公司的负面情况。这是一种微妙的心理，一方面老板不愿意也不相信自己的企业会运作不佳，另一方面又害怕真的出事。最终的结果是人人报喜不报忧，中干会上歌舞升平，企业根基渐渐糜烂,他说：「一般来说，我们从中心使用者得到的意见都是极为正面的。」,B
419,以下哪句话中“无奈”的意思(或用法)与其他句子不同。,百般无奈,"""生活的道路不可能永远是坦途,必然会遇到令人无奈的困境,甚至是人生绝境""",暴风雨中，小草拼命的挣扎，最终，无奈的匍匐在泥水中,克服困难，勇敢者自有千方百计，怯懦者只感到万般无奈,A
420,以下哪句话中“无情”的意思(或用法)与其他句子不同。,眼聚清波，轻盼曼顾。顿觉有情。原是无情,有人不会口若悬河，说得天花乱坠，可并不是就无情无义。,生命是龚自珍“落红不是无情物，化作春泥更护花”的献身精神；生命是文天祥“人生自古谁无死，留取丹心照汗青”的浩然正气；生命是苏东坡“谁道人生无再少，门前流水尚能西”的超脱与豁达；生命是杜甫“感时花溅泪，恨别鸟惊心”的无奈与感伤,岁月像一把利刀，无情地在他额头刻下一道道沧桑,D
421,以下哪句话中“栽培”的意思(或用法)与其他句子不同。,我愿用我作部的生命，从事研究科学，来贡献给生育我栽培我的祖国和人民,"""将来是自已首创的,胜利也是你自已栽培的,你无须小看自已,而要信任你的能耐,有朝一**也会成为大家仰慕的胜利者""",必须小心翼翼地培养人，就像园丁栽培心爱的果木一样。,水仙花不像玫瑰，月季那么需要人们精心栽培，只要给一点清清的水。水仙花既不开在万紫千红的春天，也不开在荷花飘香的夏天，更不开在秋高气爽的秋天，却在风雪交加的冬天，献出自己生命中最美的花朵,A
422,以下哪句话中“膨胀”的意思(或用法)与其他句子不同。,人的通病是，膨胀自己容易，缩小自己却很难,某种细菌使乳酪膨胀,自尊心是个膨胀的气球，戳上一针就会发出大风暴来,如果行政权力的膨胀是现代社会不可避免的宿命，那么为了取得社会的平衡，一方面必须让政治充分反映民众的意愿，另一方面在法的体系中应该最大限度地尊重个人的主体性，使他们能够与过分膨胀的行政权力相抗衡,B
423,以下哪句话中“启发”的意思(或用法)与其他句子不同。,石榴的表皮虽然不好看，但是它整个的果实都有用，它启发我，做人不能只是外表美丽，肚子空空；应该象石榴一样，从内到外，实实在在,教育最伟大的技巧是：知所启发,懂得如何启发，使教人的一大艺术,手足全启发。,D
424,以下哪句话中“悄悄”的意思(或用法)与其他句子不同。,小草悄悄地从泥土里探出头来，嫩嫩的、绿绿的，还挂着两滴晶莹的露珠，像是一对大而有神的眼睛，好奇地打量着外面的一切,春姑娘静悄悄地来了，柳树姐姐的头上也多了一些绿色的发卡，那是春姑娘送给她的,阳光海滩是你最好的倾诉对象，你可以对她说悄悄话；也可以对她说你的秘密，因为她是你最可靠的朋友，当然也可以告诉她你的烦恼了，倾诉是一种快乐，对吧，敞开你的心扉……用海水把一切烦恼洗去,在春色满园的温暖时节，当所有的花红柳绿在悄悄绽放的时候，在一望无垠的大地上，小草依旧在百花盛开过后，默默地在土壤之下慢慢地翘首期待春风的吹拂，待春光漫过了无边无际春天的花海时，小草就会焕发出春意盎然的勃勃生机，又一次向大自然阐释了生命的意义,C
425,以下哪句话中“阵容”的意思(或用法)与其他句子不同。,我国派出阵容强大的体育代表团参加奥运会,虽然今集演员阵容比前作更鼎盛，编导以二男配四女，唯剧情却颇为疲弱，整体成绩差强人意,纳什建议太阳招兵买马，暗示去留取决阵容实力,实践三民主义，复兴民族文化，坚守民主阵容，为余毕生之志事，实亦即海内外军民同胞一致的革命职志与战斗决心。惟愿愈益坚此百忍，奋励自强，非达成国民革命之责任，绝不中止,C
426,以下哪句话中“生涯”的意思(或用法)与其他句子不同。,在文学上，年轻人常常从担任法官开始他们的生涯，只有当智慧与经验到来时，他们才终于获得了受审的尊严。,生活中若没有朋友，就像生涯中没有阳光一样,生涯罄尽,给生涯一个微笑，它会回报你全部漂亮的春天；给性命一个微笑，它会回报你一片蔚蓝的天空,C
427,以下哪句话中“忠实”的意思(或用法)与其他句子不同。,书籍是朋友，虽然没有热情，但是非常忠实。,为未来投资的人是对现实忠实的人,太阳就像一个忠实的向导，一直为我们指引方向,汗水和丰收是忠实的伙伴，勤学和知识是一对最美丽的情侣,A
428,以下哪句话中“携手”的意思(或用法)与其他句子不同。,共克时艰，共赢商机。提振信心，携手共进。八桂处处欢，热情迎嘉宾,使“母亲”成为乐园，需要“儿女”携手努力,马上骄豪子，驱逐正蚩蚩。蜀山与楚水，携手在何时,辉煌五周年，共赢到永远。携手共进五载，合作共赢永远,C
429,以下哪句话中“文体”的意思(或用法)与其他句子不同。,小说的语言不是单一的语言，而是不同的文体、声音的杂烩集成;正是这种杂烩集成才让小说成为最民主、最反对极权的文学形式;在这个形式里，任何意识形态或道德立场都不能避免受到挑战和反驳,"""张洪特别热心于学生会的文体工作,把我校的课外活动搞得有声有色""",书中的文体，那些条理清楚，无懈可击，气势磅礴的句子，使我大为震惊,舞蹈是有节拍的步调，就像诗歌是有韵律的文体一样。,B
430,以下哪句话中“物理”的意思(或用法)与其他句子不同。,时空的尽头，一切物理特性失去意义,有些物理理论很深奥,一次物理月考成绩发下来，最擅长物理的我，竟然名落孙山，我沮丧地躲到校园的一片小树林里低头哭了起来,物理学的概念是人类心智的自由产物，它不是全然由外在世界决定的，无论它看来是否如此,A
431,以下哪句话中“气息”的意思(或用法)与其他句子不同。,勇敢，是巨浪奔腾的动力，让浩瀚的大海充满着豪迈的气息。勇敢，是擎天立地的泰山，纵横主宰着天地的浮沉。勇敢，是正义天使的身躯，坚贞不屈地守护着神圣的正义。勇敢是豪迈的，勇敢是伟大的，勇敢是神圣的,漫步在乡间小道上，闻着泥土的清新，踏着初春的气息，迎着微风的轻拂，抓着三月的末端，让指尖在黑色的键盘上飞舞，弹奏一曲阳春三月,气息渊雅,象一枝傲雪的寒梅，伫立在幽静的山谷中，恬静优雅的径自绽放，无论身周左右有多少人注视着她，她都象独自置身在空无一人的原野中一样，眼角眉梢，无不洋溢着自由浪漫的气息,C
432,以下哪句话中“新鲜”的意思(或用法)与其他句子不同。,清晨，刚打开窗户，一股新鲜空气迎面扑来。伴随着一缕缕金色的光芒，太阳出来了，露出了慈祥的笑脸。在朝阳的照耀下，院子里的太阳花慢慢地开了，珍珠似的露珠像娃娃一样调皮地在绿叶上滚动着,吸着新鲜晨气，观看天上的白云，一片片云彩有的像狮子、有的像马、还有的像鱼……，各式各样，好看极了,她娇艳的脸上有一层新鲜的绒毛，如刚摘下的水蜜桃一样,月季花的叶子那叶子油亮亮的，绿得那么新鲜，那么诱人，好像是防身的武器,C
433,以下哪句话中“宪章”的意思(或用法)与其他句子不同。,本宪章应由签字国各依其宪法程序批准之,"""杰夫：不仅宪章,象国际奥委会的组织原则等都有明确而具体的说明""",王泽下衰，文武将坠，尼父挺生，海岳标异。祖述宪章，有德无位,在联合国宪章中，各国人民表示决心要使人类后代不再遭受曾给人类带来无穷痛苦的战祸,C
434,以下哪句话中“有意”的意思(或用法)与其他句子不同。,落花有意随流水，流水无心恋落花,本月２７日是加拿大联邦大选的投票日，按照加拿大实行政党政治和民主选举的管理，有意参加竞选者必须首先在自己所属政党内参加竞争，争取党内多数人的支持并得到提名后，才能代表该政党在所属选区与其他政党的候选人竞争一席，李伟千先生是温哥华华人社区的负责人，也是当地有意参政的多名华裔人士之一，他希望能代表加拿大自由党参加温哥华东区选区的国会议员竞选，但是在自由党内竞争提名时，他败给了另一位华裔竞选人乐美森。,驻京外资金融机构主席、比利时通用银行北京代表处首席代表柯西叶在会上表示，驻京外资金融机构有意为河南省的经济建设和中国中西部地区的开发作出贡献。,幸福来临时，人们往往不去注意。一旦我们有意去追求，幸福就会像高飞的大雁，永远追不到。霍,B
435,以下哪句话中“志愿”的意思(或用法)与其他句子不同。,中国人民志愿军颁发命令，授予黄继光“特级英雄”称号,或许你是第2志愿录取；或许你是第N个专业录取，但不管你喜不喜欢本校或本专业，你都要埋头苦读，都要认真学。如果你放弃，即使有转专业的机会，也轮不到你,志愿军给罗盛教追记特等功，表彰他舍己为人的崇高精神,现在，有越来越多的青年志愿从事环保事业,B
436,以下哪句话中“运转”的意思(或用法)与其他句子不同。,干部是大发动机，其他员工应成为与大动机同步运转的小发动机，这样动力才会更大。下面的员工不能成为发动机的传动装置,行星绕着太阳运转,自然界的奇迹都是在静谧中酝酿。宇宙的巨轮无声地运转。我们处在这个嘈杂的时代，如果想保持圣洁，每天必须有一段孤独安静的时刻,就算没有设计师，社会一样会照常运转，因此你要体现出你的价值，而不是一味索取,B
